qtdb_idx,pyhearts_idx,qtdb_amplitude,pyhearts_amplitude,amplitude_diff,offset_samples,offset_ms,distance_samples
21924,21939,-0.535,0.57,1.105,15,60.0,15
22064,22079,-0.5,0.585,1.085,15,60.0,15
22204,22220,-0.52,0.6,1.12,16,64.0,16
22346,22362,-0.525,0.595,1.12,16,64.0,16
22488,22503,-0.515,0.55,1.065,15,60.0,15
22630,22646,-0.51,0.6,1.1099999999999999,16,64.0,16
22772,22787,-0.535,0.585,1.12,15,60.0,15
22914,22928,-0.485,0.575,1.06,14,56.0,14
23054,23070,-0.51,0.58,1.0899999999999999,16,64.0,16
23196,23211,-0.55,0.575,1.125,15,60.0,15
23338,23353,-0.515,0.585,1.1,15,60.0,15
23480,23495,-0.51,0.595,1.105,15,60.0,15
23622,23638,-0.57,0.59,1.16,16,64.0,16
23766,23781,-0.585,0.565,1.15,15,60.0,15
23908,23922,-0.535,0.575,1.1099999999999999,14,56.0,14
24050,24065,-0.585,0.57,1.1549999999999998,15,60.0,15
24192,24207,-0.49,0.55,1.04,15,60.0,15
24334,24350,-0.58,0.59,1.17,16,64.0,16
24476,24492,-0.595,0.59,1.185,16,64.0,16
24620,24634,-0.635,0.56,1.195,14,56.0,14
24762,24776,-0.635,0.575,1.21,14,56.0,14
24902,24918,-0.605,0.575,1.18,16,64.0,16
25044,25059,-0.61,0.565,1.1749999999999998,15,60.0,15
25186,25201,-0.615,0.58,1.1949999999999998,15,60.0,15
25328,25343,-0.59,0.6,1.19,15,60.0,15
25470,25484,-0.57,0.59,1.16,14,56.0,14
25610,25626,-0.605,0.59,1.1949999999999998,16,64.0,16
25752,25767,-0.585,0.6,1.185,15,60.0,15
25892,25908,-0.585,0.57,1.1549999999999998,16,64.0,16
26034,26049,-0.595,0.58,1.1749999999999998,15,60.0,15
26174,26189,-0.58,0.555,1.135,15,60.0,15
26316,26330,-0.565,0.585,1.15,14,56.0,14
26456,26471,-0.55,0.56,1.11,15,60.0,15
26598,26612,-0.545,0.575,1.12,14,56.0,14
26738,26753,-0.545,0.595,1.1400000000000001,15,60.0,15
26880,26895,-0.535,0.605,1.1400000000000001,15,60.0,15
27022,27037,-0.55,0.625,1.175,15,60.0,15
27162,27178,-0.525,0.6,1.125,16,64.0,16
27304,27320,-0.52,0.6,1.12,16,64.0,16
27448,27462,-0.545,0.6,1.145,14,56.0,14
27590,27604,-0.55,0.565,1.115,14,56.0,14
27732,27746,-0.535,0.575,1.1099999999999999,14,56.0,14
27874,27890,-0.545,0.605,1.15,16,64.0,16
28018,28033,-0.58,0.58,1.16,15,60.0,15
28160,28175,-0.51,0.59,1.1,15,60.0,15
28302,28318,-0.535,0.575,1.1099999999999999,16,64.0,16
28446,28460,-0.565,0.575,1.14,14,56.0,14
28588,28602,-0.56,0.55,1.11,14,56.0,14
28730,28744,-0.535,0.575,1.1099999999999999,14,56.0,14
28872,28886,-0.58,0.575,1.1549999999999998,14,56.0,14
29012,29028,-0.55,0.575,1.125,16,64.0,16
29154,29169,-0.595,0.575,1.17,15,60.0,15
29296,29311,-0.615,0.59,1.205,15,60.0,15
29438,29452,-0.615,0.58,1.1949999999999998,14,56.0,14
29578,29593,-0.585,0.575,1.16,15,60.0,15
29720,29736,-0.645,0.585,1.23,16,64.0,16
29864,29879,-0.635,0.61,1.245,15,60.0,15
30006,30021,-0.58,0.575,1.1549999999999998,15,60.0,15
30148,30164,-0.605,0.585,1.19,16,64.0,16
30292,30307,-0.58,0.585,1.165,15,60.0,15
30434,30448,-0.535,0.565,1.1,14,56.0,14
30576,30591,-0.52,0.57,1.0899999999999999,15,60.0,15
30718,30734,-0.55,0.59,1.1400000000000001,16,64.0,16
30862,30876,-0.565,0.575,1.14,14,56.0,14
31002,31018,-0.59,0.595,1.185,16,64.0,16
31146,31160,-0.61,0.585,1.1949999999999998,14,56.0,14
31288,31302,-0.62,0.565,1.185,14,56.0,14
31428,31443,-0.605,0.575,1.18,15,60.0,15
31570,31585,-0.605,0.565,1.17,15,60.0,15
31712,31727,-0.62,0.585,1.205,15,60.0,15
31854,31868,-0.43,0.59,1.02,14,56.0,14
31994,32009,-0.445,0.61,1.055,15,60.0,15
32134,32148,-0.45,0.58,1.03,14,56.0,14
32272,32288,-0.46,0.61,1.07,16,64.0,16
32412,32428,-0.5,0.585,1.085,16,64.0,16
32554,32568,-0.51,0.6,1.1099999999999999,14,56.0,14
32694,32709,-0.505,0.59,1.095,15,60.0,15
32836,32850,-0.565,0.54,1.105,14,56.0,14
32978,32992,-0.56,0.57,1.13,14,56.0,14
33120,33134,-0.485,0.61,1.095,14,56.0,14
33262,33276,-0.475,0.575,1.0499999999999998,14,56.0,14
33404,33419,-0.515,0.59,1.105,15,60.0,15
33546,33561,-0.485,0.585,1.0699999999999998,15,60.0,15
33688,33702,-0.5,0.575,1.075,14,56.0,14
33828,33844,-0.535,0.595,1.13,16,64.0,16
33970,33985,-0.6,0.57,1.17,15,60.0,15
34112,34126,-0.57,0.575,1.145,14,56.0,14
34252,34267,-0.555,0.565,1.12,15,60.0,15
34394,34408,-0.545,0.585,1.13,14,56.0,14
34534,34550,-0.56,0.575,1.135,16,64.0,16
34676,34691,-0.6,0.575,1.1749999999999998,15,60.0,15
34818,34833,-0.605,0.575,1.18,15,60.0,15
34958,34974,-0.605,0.595,1.2,16,64.0,16
35100,35114,-0.605,0.55,1.155,14,56.0,14
35240,35255,-0.655,0.57,1.225,15,60.0,15
35382,35396,-0.66,0.575,1.2349999999999999,14,56.0,14
35522,35537,-0.645,0.585,1.23,15,60.0,15
35664,35679,-0.62,0.575,1.1949999999999998,15,60.0,15
35806,35821,-0.655,0.575,1.23,15,60.0,15
35948,35964,-0.64,0.595,1.2349999999999999,16,64.0,16
36090,36105,-0.635,0.55,1.185,15,60.0,15
36232,36247,-0.615,0.585,1.2,15,60.0,15
36374,36390,-0.6,0.585,1.185,16,64.0,16
36516,36531,-0.59,0.585,1.1749999999999998,15,60.0,15
36658,36673,-0.605,0.55,1.155,15,60.0,15
36800,36815,-0.605,0.6,1.205,15,60.0,15
36942,36956,-0.63,0.575,1.205,14,56.0,14
37084,37097,-0.585,0.575,1.16,13,52.0,13
37224,37239,-0.58,0.595,1.1749999999999998,15,60.0,15
37366,37381,-0.585,0.605,1.19,15,60.0,15
37506,37522,-0.52,0.59,1.1099999999999999,16,64.0,16
37648,37663,-0.475,0.59,1.065,15,60.0,15
37790,37804,-0.47,0.595,1.065,14,56.0,14
37930,37945,-0.485,0.58,1.065,15,60.0,15
38072,38086,-0.425,0.6,1.025,14,56.0,14
38212,38227,-0.445,0.61,1.055,15,60.0,15
38352,38368,-0.45,0.61,1.06,16,64.0,16
38494,38509,-0.475,0.59,1.065,15,60.0,15
38634,38650,-0.45,0.615,1.065,16,64.0,16
38776,38791,-0.51,0.59,1.1,15,60.0,15
38916,38932,-0.545,0.595,1.1400000000000001,16,64.0,16
39058,39073,-0.545,0.575,1.12,15,60.0,15
39200,39214,-0.55,0.58,1.13,14,56.0,14
39340,39356,-0.605,0.575,1.18,16,64.0,16
39482,39497,-0.58,0.58,1.16,15,60.0,15
39624,39639,-0.56,0.61,1.17,15,60.0,15
39764,39780,-0.585,0.585,1.17,16,64.0,16
39906,39922,-0.63,0.58,1.21,16,64.0,16
40048,40063,-0.605,0.575,1.18,15,60.0,15
40190,40205,-0.61,0.595,1.205,15,60.0,15
40332,40347,-0.615,0.59,1.205,15,60.0,15
40472,40487,-0.55,0.57,1.12,15,60.0,15
40614,40628,-0.555,0.595,1.15,14,56.0,14
40754,40769,-0.555,0.585,1.1400000000000001,15,60.0,15
40894,40910,-0.585,0.585,1.17,16,64.0,16
41036,41050,-0.535,0.585,1.12,14,56.0,14
41176,41192,-0.63,0.565,1.1949999999999998,16,64.0,16
41318,41333,-0.64,0.575,1.2149999999999999,15,60.0,15
41460,41474,-0.615,0.56,1.175,14,56.0,14
41600,41615,-0.585,0.575,1.16,15,60.0,15
41742,41756,-0.61,0.575,1.185,14,56.0,14
41882,41897,-0.565,0.6,1.165,15,60.0,15
42022,42037,-0.55,0.58,1.13,15,60.0,15
42162,42177,-0.575,0.585,1.16,15,60.0,15
42304,42318,-0.585,0.585,1.17,14,56.0,14
42444,42458,-0.56,0.575,1.135,14,56.0,14
42584,42599,-0.5,0.59,1.0899999999999999,15,60.0,15
42726,42741,-0.535,0.595,1.13,15,60.0,15
42868,42883,-0.535,0.59,1.125,15,60.0,15
43010,43024,-0.51,0.57,1.08,14,56.0,14
43152,43166,-0.5,0.585,1.085,14,56.0,14
43292,43308,-0.535,0.575,1.1099999999999999,16,64.0,16
43434,43449,-0.52,0.595,1.115,15,60.0,15
43576,43591,-0.5,0.59,1.0899999999999999,15,60.0,15
43716,43732,-0.47,0.625,1.095,16,64.0,16
43858,43873,-0.525,0.585,1.1099999999999999,15,60.0,15
43998,44013,-0.545,0.605,1.15,15,60.0,15
44138,44154,-0.57,0.575,1.145,16,64.0,16
44278,44293,-0.52,0.56,1.08,15,60.0,15
44418,44434,-0.545,0.575,1.12,16,64.0,16
44558,44574,-0.59,0.59,1.18,16,64.0,16
44700,44715,-0.585,0.56,1.145,15,60.0,15
44840,44856,-0.545,0.595,1.1400000000000001,16,64.0,16
44982,44997,-0.565,0.595,1.16,15,60.0,15
45122,45138,-0.61,0.57,1.18,16,64.0,16
45264,45279,-0.61,0.575,1.185,15,60.0,15
45406,45421,-0.595,0.585,1.18,15,60.0,15
45546,45562,-0.585,0.59,1.1749999999999998,16,64.0,16
45688,45703,-0.62,0.57,1.19,15,60.0,15
45828,45844,-0.63,0.6,1.23,16,64.0,16
45970,45984,-0.585,0.575,1.16,14,56.0,14
46250,46266,-0.595,0.6,1.1949999999999998,16,64.0,16
46392,46408,-0.605,0.475,1.08,16,64.0,16
46534,46548,-0.585,0.575,1.16,14,56.0,14
46674,46689,-0.57,0.585,1.1549999999999998,15,60.0,15
46816,46831,-0.57,0.6,1.17,15,60.0,15
46958,46974,-0.565,0.6,1.165,16,64.0,16
47102,47116,-0.535,0.565,1.1,14,56.0,14
47244,47259,-0.51,0.6,1.1099999999999999,15,60.0,15
47386,47402,-0.51,0.585,1.095,16,64.0,16
47530,47545,-0.535,0.575,1.1099999999999999,15,60.0,15
47674,47688,-0.48,0.595,1.075,14,56.0,14
47816,47830,-0.485,0.585,1.0699999999999998,14,56.0,14
47958,47973,-0.525,0.595,1.12,15,60.0,15
48100,48115,-0.535,0.575,1.1099999999999999,15,60.0,15
48242,48257,-0.51,0.595,1.105,15,60.0,15
48384,48399,-0.485,0.59,1.075,15,60.0,15
48526,48542,-0.52,0.605,1.125,16,64.0,16
48670,48685,-0.54,0.595,1.135,15,60.0,15
48812,48826,-0.495,0.61,1.105,14,56.0,14
48954,48968,-0.515,0.6,1.115,14,56.0,14
49094,49111,-0.535,0.5,1.0350000000000001,17,68.0,17
49236,49251,-0.58,0.585,1.165,15,60.0,15
49378,49392,-0.565,0.58,1.145,14,56.0,14
49518,49534,-0.605,0.575,1.18,16,64.0,16
49660,49675,-0.61,0.55,1.1600000000000001,15,60.0,15
49802,49816,-0.625,0.565,1.19,14,56.0,14
49942,49957,-0.58,0.57,1.15,15,60.0,15
50082,50098,-0.585,0.585,1.17,16,64.0,16
50224,50239,-0.63,0.57,1.2,15,60.0,15
50366,50380,-0.605,0.575,1.18,14,56.0,14
50506,50522,-0.585,0.57,1.1549999999999998,16,64.0,16
50648,50663,-0.58,0.585,1.165,15,60.0,15
50790,50804,-0.63,0.555,1.185,14,56.0,14
50930,50945,-0.62,0.575,1.1949999999999998,15,60.0,15
51070,51085,-0.585,0.575,1.16,15,60.0,15
51212,51227,-0.655,0.6,1.255,15,60.0,15
51352,51368,-0.62,0.58,1.2,16,64.0,16
51494,51506,-0.58,0.45,1.03,12,48.0,12
51634,51650,-0.55,0.6,1.15,16,64.0,16
51776,51791,-0.56,0.6,1.1600000000000001,15,60.0,15
51918,51932,-0.56,0.575,1.135,14,56.0,14
52058,52072,-0.535,0.555,1.09,14,56.0,14
52198,52213,-0.535,0.575,1.1099999999999999,15,60.0,15
52340,52355,-0.595,0.585,1.18,15,60.0,15
52480,52495,-0.615,0.575,1.19,15,60.0,15
52620,52635,-0.585,0.585,1.17,15,60.0,15
52760,52775,-0.565,0.59,1.1549999999999998,15,60.0,15
52900,52915,-0.615,0.56,1.175,15,60.0,15
53040,53055,-0.57,0.585,1.1549999999999998,15,60.0,15
53180,53195,-0.51,0.595,1.105,15,60.0,15
53320,53335,-0.51,0.615,1.125,15,60.0,15
53460,53475,-0.535,0.6,1.135,15,60.0,15
53600,53615,-0.51,0.535,1.045,15,60.0,15
53740,53755,-0.51,0.59,1.1,15,60.0,15
53880,53895,-0.58,0.57,1.15,15,60.0,15
54022,54036,-0.615,0.565,1.18,14,56.0,14
54162,54177,-0.605,0.585,1.19,15,60.0,15
54302,54318,-0.645,0.575,1.22,16,64.0,16
54444,54459,-0.64,0.6,1.24,15,60.0,15
54586,54600,-0.61,0.585,1.1949999999999998,14,56.0,14
54726,54741,-0.58,0.59,1.17,15,60.0,15
54868,54883,-0.55,0.61,1.1600000000000001,15,60.0,15
55010,55024,-0.56,0.575,1.135,14,56.0,14
55152,55166,-0.545,0.6,1.145,14,56.0,14
55294,55309,-0.565,0.595,1.16,15,60.0,15
55436,55451,-0.605,0.6,1.205,15,60.0,15
55578,55593,-0.645,0.595,1.24,15,60.0,15
55720,55735,-0.615,0.595,1.21,15,60.0,15
55862,55878,-0.62,0.585,1.205,16,64.0,16
56004,56020,-0.57,0.595,1.165,16,64.0,16
56148,56162,-0.57,0.575,1.145,14,56.0,14
56290,56304,-0.565,0.59,1.1549999999999998,14,56.0,14
56430,56445,-0.55,0.575,1.125,15,60.0,15
56570,56586,-0.53,0.575,1.105,16,64.0,16
56712,56727,-0.545,0.6,1.145,15,60.0,15
56852,56867,-0.52,0.575,1.095,15,60.0,15
56994,57008,-0.5,0.595,1.095,14,56.0,14
57134,57150,-0.485,0.62,1.105,16,64.0,16
57276,57291,-0.545,0.59,1.135,15,60.0,15
57418,57433,-0.605,0.565,1.17,15,60.0,15
57560,57574,-0.555,0.55,1.105,14,56.0,14
57702,57716,-0.5,0.57,1.0699999999999998,14,56.0,14
57844,57858,-0.51,0.6,1.1099999999999999,14,56.0,14
57986,58000,-0.545,0.575,1.12,14,56.0,14
58128,58143,-0.535,0.63,1.165,15,60.0,15
58270,58284,-0.51,0.57,1.08,14,56.0,14
58412,58426,-0.49,0.56,1.05,14,56.0,14
58552,58567,-0.545,0.6,1.145,15,60.0,15
58694,58709,-0.59,0.585,1.1749999999999998,15,60.0,15
58836,58850,-0.595,0.585,1.18,14,56.0,14
58976,58991,-0.545,0.61,1.155,15,60.0,15
59116,59131,-0.585,0.6,1.185,15,60.0,15
59258,59272,-0.585,0.595,1.18,14,56.0,14
59398,59412,-0.535,0.595,1.13,14,56.0,14
59536,59552,-0.555,0.595,1.15,16,64.0,16
59676,59692,-0.565,0.605,1.17,16,64.0,16
59816,59831,-0.57,0.56,1.13,15,60.0,15
59956,59971,-0.58,0.6,1.18,15,60.0,15
60096,60111,-0.64,0.6,1.24,15,60.0,15
60236,60251,-0.635,0.61,1.245,15,60.0,15
60376,60390,-0.59,0.565,1.1549999999999998,14,56.0,14
60516,60531,-0.445,0.6,1.045,15,60.0,15
60656,60671,-0.615,0.6,1.2149999999999999,15,60.0,15
60796,60811,-0.57,0.575,1.145,15,60.0,15
60936,60951,-0.6,0.575,1.1749999999999998,15,60.0,15
61076,61092,-0.605,0.6,1.205,16,64.0,16
61216,61232,-0.605,0.6,1.205,16,64.0,16
61356,61371,-0.63,0.585,1.2149999999999999,15,60.0,15
61496,61512,-0.66,0.61,1.27,16,64.0,16
61636,61651,-0.61,0.565,1.1749999999999998,15,60.0,15
61776,61792,-0.63,0.605,1.2349999999999999,16,64.0,16
61916,61931,-0.62,0.56,1.1800000000000002,15,60.0,15
62056,62070,-0.57,0.575,1.145,14,56.0,14
62194,62208,-0.605,0.57,1.1749999999999998,14,56.0,14
62330,62345,-0.545,0.555,1.1,15,60.0,15
62468,62482,-0.51,0.585,1.095,14,56.0,14
62604,62619,-0.52,0.595,1.115,15,60.0,15
62742,62758,-0.525,0.605,1.13,16,64.0,16
62882,62896,-0.49,0.59,1.08,14,56.0,14
63022,63036,-0.435,0.595,1.03,14,56.0,14
63162,63177,-0.475,0.605,1.08,15,60.0,15
63302,63317,-0.505,0.595,1.1,15,60.0,15
63442,63457,-0.5,0.58,1.08,15,60.0,15
63582,63598,-0.465,0.58,1.045,16,64.0,16
63722,63738,-0.495,0.585,1.08,16,64.0,16
63864,63878,-0.52,0.595,1.115,14,56.0,14
64004,64018,-0.555,0.57,1.125,14,56.0,14
64144,64158,-0.55,0.6,1.15,14,56.0,14
64282,64298,-0.595,0.595,1.19,16,64.0,16
64422,64437,-0.61,0.54,1.15,15,60.0,15
64562,64576,-0.62,0.55,1.17,14,56.0,14
64702,64717,-0.58,0.58,1.16,15,60.0,15
64842,64857,-0.585,0.575,1.16,15,60.0,15
64982,64997,-0.61,0.585,1.1949999999999998,15,60.0,15
65122,65138,-0.58,0.575,1.1549999999999998,16,64.0,16
65262,65278,-0.595,0.585,1.18,16,64.0,16
65404,65418,-0.595,0.575,1.17,14,56.0,14
65544,65559,-0.595,0.575,1.17,15,60.0,15
65684,65698,-0.555,0.575,1.13,14,56.0,14
65824,65839,-0.535,0.595,1.13,15,60.0,15
65964,65979,-0.56,0.6,1.1600000000000001,15,60.0,15
66104,66119,-0.57,0.575,1.145,15,60.0,15
66244,66259,-0.545,0.575,1.12,15,60.0,15
66384,66398,-0.565,0.575,1.14,14,56.0,14
66524,66538,-0.595,0.575,1.17,14,56.0,14
66664,66678,-0.585,0.575,1.16,14,56.0,14
66802,66817,-0.555,0.575,1.13,15,60.0,15
66942,66957,-0.58,0.585,1.165,15,60.0,15
67082,67097,-0.585,0.585,1.17,15,60.0,15
67222,67236,-0.585,0.575,1.16,14,56.0,14
67360,67375,-0.565,0.575,1.14,15,60.0,15
67500,67514,-0.57,0.575,1.145,14,56.0,14
67638,67653,-0.555,0.565,1.12,15,60.0,15
67778,67792,-0.58,0.58,1.16,14,56.0,14
67916,67931,-0.53,0.595,1.125,15,60.0,15
68054,68070,-0.525,0.61,1.135,16,64.0,16
68194,68209,-0.565,0.605,1.17,15,60.0,15
68334,68348,-0.52,0.595,1.115,14,56.0,14
68472,68488,-0.485,0.595,1.08,16,64.0,16
68614,68628,-0.495,0.595,1.0899999999999999,14,56.0,14
68754,68769,-0.5,0.585,1.085,15,60.0,15
68896,68910,-0.515,0.595,1.1099999999999999,14,56.0,14
69036,69051,-0.555,0.575,1.13,15,60.0,15
69178,69192,-0.58,0.6,1.18,14,56.0,14
69318,69334,-0.58,0.585,1.165,16,64.0,16
69460,69475,-0.595,0.6,1.1949999999999998,15,60.0,15
69600,69616,-0.605,0.575,1.18,16,64.0,16
69742,69757,-0.615,0.575,1.19,15,60.0,15
69884,69898,-0.585,0.575,1.16,14,56.0,14
70024,70039,-0.605,0.55,1.155,15,60.0,15
