qtdb_idx,pyhearts_idx,offset_samples,offset_ms,distance_samples
34534,34550,16,64.0,16
34676,34691,15,60.0,15
34818,34833,15,60.0,15
34958,34974,16,64.0,16
35100,35114,14,56.0,14
35240,35255,15,60.0,15
35382,35396,14,56.0,14
35522,35537,15,60.0,15
35664,35679,15,60.0,15
35806,35821,15,60.0,15
35948,35964,16,64.0,16
36090,36105,15,60.0,15
36232,36247,15,60.0,15
36374,36390,16,64.0,16
36516,36531,15,60.0,15
36658,36673,15,60.0,15
36800,36815,15,60.0,15
36942,36956,14,56.0,14
37084,37097,13,52.0,13
37224,37239,15,60.0,15
37366,37381,15,60.0,15
37506,37522,16,64.0,16
37648,37663,15,60.0,15
37790,37804,14,56.0,14
37930,37945,15,60.0,15
38072,38086,14,56.0,14
38212,38227,15,60.0,15
38352,38368,16,64.0,16
38494,38509,15,60.0,15
38634,38650,16,64.0,16
38776,38791,15,60.0,15
38916,38932,16,64.0,16
39058,39073,15,60.0,15
39200,39214,14,56.0,14
39340,39356,16,64.0,16
39482,39497,15,60.0,15
39624,39639,15,60.0,15
39764,39780,16,64.0,16
39906,39922,16,64.0,16
40048,40063,15,60.0,15
40190,40205,15,60.0,15
40332,40347,15,60.0,15
40472,40487,15,60.0,15
40614,40628,14,56.0,14
40754,40769,15,60.0,15
40894,40910,16,64.0,16
41036,41050,14,56.0,14
41176,41192,16,64.0,16
41318,41333,15,60.0,15
41460,41474,14,56.0,14
41600,41615,15,60.0,15
41742,41756,14,56.0,14
41882,41897,15,60.0,15
42022,42037,15,60.0,15
42162,42177,15,60.0,15
42304,42318,14,56.0,14
42444,42458,14,56.0,14
42584,42599,15,60.0,15
42726,42741,15,60.0,15
42868,42883,15,60.0,15
43010,43024,14,56.0,14
43152,43166,14,56.0,14
43292,43308,16,64.0,16
43434,43449,15,60.0,15
43576,43591,15,60.0,15
43716,43732,16,64.0,16
43858,43873,15,60.0,15
43998,44013,15,60.0,15
44138,44154,16,64.0,16
44278,44293,15,60.0,15
44418,44434,16,64.0,16
44558,44574,16,64.0,16
44700,44715,15,60.0,15
44840,44856,16,64.0,16
44982,44997,15,60.0,15
45122,45138,16,64.0,16
45264,45279,15,60.0,15
45406,45421,15,60.0,15
45546,45562,16,64.0,16
45688,45703,15,60.0,15
45828,45844,16,64.0,16
45970,45984,14,56.0,14
46250,46266,16,64.0,16
46392,46408,16,64.0,16
46534,46548,14,56.0,14
46674,46689,15,60.0,15
46816,46831,15,60.0,15
46958,46974,16,64.0,16
47102,47116,14,56.0,14
47244,47259,15,60.0,15
47386,47402,16,64.0,16
47530,47545,15,60.0,15
47674,47688,14,56.0,14
47816,47830,14,56.0,14
47958,47973,15,60.0,15
48100,48115,15,60.0,15
48242,48257,15,60.0,15
48384,48399,15,60.0,15
48526,48542,16,64.0,16
48670,48685,15,60.0,15
48812,48826,14,56.0,14
48954,48968,14,56.0,14
49094,49111,17,68.0,17
49236,49251,15,60.0,15
49378,49392,14,56.0,14
49518,49534,16,64.0,16
49660,49675,15,60.0,15
49802,49816,14,56.0,14
49942,49957,15,60.0,15
50082,50098,16,64.0,16
50224,50239,15,60.0,15
50366,50380,14,56.0,14
50506,50522,16,64.0,16
50648,50663,15,60.0,15
50790,50804,14,56.0,14
50930,50945,15,60.0,15
51070,51085,15,60.0,15
51212,51227,15,60.0,15
51352,51368,16,64.0,16
51494,51506,12,48.0,12
51634,51650,16,64.0,16
51776,51791,15,60.0,15
51918,51932,14,56.0,14
52058,52072,14,56.0,14
52198,52213,15,60.0,15
52340,52355,15,60.0,15
52480,52495,15,60.0,15
52620,52635,15,60.0,15
52760,52775,15,60.0,15
52900,52915,15,60.0,15
53040,53055,15,60.0,15
53180,53195,15,60.0,15
53320,53335,15,60.0,15
53460,53475,15,60.0,15
53600,53615,15,60.0,15
53740,53755,15,60.0,15
53880,53895,15,60.0,15
54022,54036,14,56.0,14
54162,54177,15,60.0,15
54302,54318,16,64.0,16
54444,54459,15,60.0,15
54586,54600,14,56.0,14
54726,54741,15,60.0,15
54868,54883,15,60.0,15
55010,55024,14,56.0,14
55152,55166,14,56.0,14
55294,55309,15,60.0,15
55436,55451,15,60.0,15
55578,55593,15,60.0,15
55720,55735,15,60.0,15
55862,55878,16,64.0,16
56004,56020,16,64.0,16
56148,56162,14,56.0,14
56290,56304,14,56.0,14
56430,56445,15,60.0,15
56570,56586,16,64.0,16
56712,56727,15,60.0,15
56852,56867,15,60.0,15
56994,57008,14,56.0,14
57134,57150,16,64.0,16
57276,57291,15,60.0,15
57418,57433,15,60.0,15
57560,57574,14,56.0,14
57702,57716,14,56.0,14
57844,57858,14,56.0,14
57986,58000,14,56.0,14
58128,58143,15,60.0,15
58270,58284,14,56.0,14
58412,58426,14,56.0,14
58552,58567,15,60.0,15
58694,58709,15,60.0,15
58836,58850,14,56.0,14
58976,58991,15,60.0,15
59116,59131,15,60.0,15
59258,59272,14,56.0,14
59398,59412,14,56.0,14
59536,59552,16,64.0,16
59676,59692,16,64.0,16
59816,59831,15,60.0,15
59956,59971,15,60.0,15
60096,60111,15,60.0,15
60236,60251,15,60.0,15
60376,60390,14,56.0,14
60516,60531,15,60.0,15
60656,60671,15,60.0,15
60796,60811,15,60.0,15
60936,60951,15,60.0,15
61076,61092,16,64.0,16
61216,61232,16,64.0,16
61356,61371,15,60.0,15
61496,61512,16,64.0,16
61636,61651,15,60.0,15
61776,61792,16,64.0,16
61916,61931,15,60.0,15
62056,62070,14,56.0,14
62194,62208,14,56.0,14
62330,62345,15,60.0,15
62468,62482,14,56.0,14
62604,62619,15,60.0,15
62742,62758,16,64.0,16
62882,62896,14,56.0,14
63022,63036,14,56.0,14
63162,63177,15,60.0,15
63302,63317,15,60.0,15
63442,63457,15,60.0,15
63582,63598,16,64.0,16
63722,63738,16,64.0,16
63864,63878,14,56.0,14
64004,64018,14,56.0,14
64144,64158,14,56.0,14
64282,64298,16,64.0,16
64422,64437,15,60.0,15
64562,64576,14,56.0,14
64702,64717,15,60.0,15
64842,64857,15,60.0,15
64982,64997,15,60.0,15
65122,65138,16,64.0,16
65262,65278,16,64.0,16
65404,65418,14,56.0,14
65544,65559,15,60.0,15
65684,65698,14,56.0,14
65824,65839,15,60.0,15
65964,65979,15,60.0,15
66104,66119,15,60.0,15
66244,66259,15,60.0,15
66384,66398,14,56.0,14
66524,66538,14,56.0,14
66664,66678,14,56.0,14
66802,66817,15,60.0,15
66942,66957,15,60.0,15
67082,67097,15,60.0,15
67222,67236,14,56.0,14
67360,67375,15,60.0,15
67500,67514,14,56.0,14
67638,67653,15,60.0,15
67778,67792,14,56.0,14
67916,67931,15,60.0,15
68054,68070,16,64.0,16
68194,68209,15,60.0,15
68334,68348,14,56.0,14
68472,68488,16,64.0,16
68614,68628,14,56.0,14
68754,68769,15,60.0,15
68896,68910,14,56.0,14
69036,69051,15,60.0,15
69178,69192,14,56.0,14
69318,69334,16,64.0,16
69460,69475,15,60.0,15
69600,69616,16,64.0,16
69742,69757,15,60.0,15
69884,69898,14,56.0,14
70024,70039,15,60.0,15
70166,70180,14,56.0,14
70306,70322,16,64.0,16
70448,70463,15,60.0,15
70588,70604,16,64.0,16
70730,70745,15,60.0,15
70870,70886,16,64.0,16
71012,71026,14,56.0,14
71152,71166,14,56.0,14
71292,71306,14,56.0,14
71432,71447,15,60.0,15
71574,71589,15,60.0,15
71716,71730,14,56.0,14
71858,71872,14,56.0,14
72000,72014,14,56.0,14
72142,72157,15,60.0,15
72284,72299,15,60.0,15
72426,72442,16,64.0,16
72570,72586,16,64.0,16
72714,72729,15,60.0,15
72858,72872,14,56.0,14
73000,73016,16,64.0,16
73144,73159,15,60.0,15
73290,73304,14,56.0,14
73434,73448,14,56.0,14
73578,73593,15,60.0,15
73722,73738,16,64.0,16
73868,73882,14,56.0,14
74010,74025,15,60.0,15
74154,74170,16,64.0,16
74300,74314,14,56.0,14
74444,74458,14,56.0,14
74588,74602,14,56.0,14
74732,74747,15,60.0,15
74876,74892,16,64.0,16
75022,75037,15,60.0,15
75166,75181,15,60.0,15
75310,75325,15,60.0,15
75454,75469,15,60.0,15
75598,75613,15,60.0,15
75742,75756,14,56.0,14
75886,75900,14,56.0,14
76028,76043,15,60.0,15
76172,76187,15,60.0,15
76316,76331,15,60.0,15
76460,76475,15,60.0,15
76604,76619,15,60.0,15
76748,76763,15,60.0,15
76892,76908,16,64.0,16
77038,77052,14,56.0,14
77182,77196,14,56.0,14
77470,77484,14,56.0,14
77614,77629,15,60.0,15
77758,77773,15,60.0,15
77902,77916,14,56.0,14
78046,78060,14,56.0,14
78188,78204,16,64.0,16
78332,78347,15,60.0,15
78474,78490,16,64.0,16
78618,78633,15,60.0,15
78760,78775,15,60.0,15
78902,78918,16,64.0,16
79046,79060,14,56.0,14
79188,79203,15,60.0,15
79332,79346,14,56.0,14
79474,79489,15,60.0,15
79618,79633,15,60.0,15
79762,79777,15,60.0,15
79904,79920,16,64.0,16
80048,80063,15,60.0,15
80192,80206,14,56.0,14
80336,80350,14,56.0,14
80478,80493,15,60.0,15
80620,80635,15,60.0,15
80762,80776,14,56.0,14
80902,80916,14,56.0,14
81042,81057,15,60.0,15
81184,81198,14,56.0,14
81324,81339,15,60.0,15
81466,81481,15,60.0,15
81608,81623,15,60.0,15
81752,81766,14,56.0,14
81896,81910,14,56.0,14
82038,82054,16,64.0,16
82182,82198,16,64.0,16
82328,82342,14,56.0,14
82472,82486,14,56.0,14
82616,82631,15,60.0,15
82760,82774,14,56.0,14
82904,82919,15,60.0,15
83048,83063,15,60.0,15
83192,83206,14,56.0,14
83336,83350,14,56.0,14
83480,83495,15,60.0,15
83624,83639,15,60.0,15
83768,83784,16,64.0,16
83914,83929,15,60.0,15
84060,84074,14,56.0,14
84204,84219,15,60.0,15
84350,84364,14,56.0,14
84494,84510,16,64.0,16
84640,84654,14,56.0,14
84784,84799,15,60.0,15
84928,84944,16,64.0,16
85074,85089,15,60.0,15
85218,85233,15,60.0,15
85362,85377,15,60.0,15
85506,85521,15,60.0,15
85650,85665,15,60.0,15
85794,85810,16,64.0,16
85940,85954,14,56.0,14
86084,86099,15,60.0,15
86228,86243,15,60.0,15
86372,86388,16,64.0,16
86518,86533,15,60.0,15
86662,86678,16,64.0,16
86808,86822,14,56.0,14
86952,86966,14,56.0,14
87096,87111,15,60.0,15
87240,87255,15,60.0,15
87384,87398,14,56.0,14
87526,87539,13,52.0,13
87670,87686,16,64.0,16
87816,87830,14,56.0,14
87960,87974,14,56.0,14
88102,88118,16,64.0,16
88246,88262,16,64.0,16
88390,88405,15,60.0,15
88534,88548,14,56.0,14
88678,88692,14,56.0,14
88822,88836,14,56.0,14
88964,88979,15,60.0,15
89108,89123,15,60.0,15
89252,89267,15,60.0,15
89396,89411,15,60.0,15
89540,89555,15,60.0,15
89684,89700,16,64.0,16
89830,89844,14,56.0,14
89974,89989,15,60.0,15
90120,90134,14,56.0,14
90264,90279,15,60.0,15
90410,90424,14,56.0,14
90554,90568,14,56.0,14
90698,90714,16,64.0,16
90844,90858,14,56.0,14
90988,91003,15,60.0,15
91132,91147,15,60.0,15
91276,91291,15,60.0,15
91420,91435,15,60.0,15
91564,91579,15,60.0,15
91708,91723,15,60.0,15
91852,91868,16,64.0,16
91996,92012,16,64.0,16
92142,92156,14,56.0,14
92286,92300,14,56.0,14
92430,92444,14,56.0,14
92574,92588,14,56.0,14
92718,92733,15,60.0,15
92862,92876,14,56.0,14
93004,93020,16,64.0,16
93148,93164,16,64.0,16
93292,93307,15,60.0,15
93436,93450,14,56.0,14
93578,93594,16,64.0,16
93722,93737,15,60.0,15
93866,93880,14,56.0,14
94008,94024,16,64.0,16
94152,94167,15,60.0,15
94296,94310,14,56.0,14
94438,94453,15,60.0,15
94580,94596,16,64.0,16
94724,94738,14,56.0,14
94866,94881,15,60.0,15
95008,95023,15,60.0,15
95150,95165,15,60.0,15
95292,95306,14,56.0,14
95432,95446,14,56.0,14
95572,95588,16,64.0,16
95712,95728,16,64.0,16
95854,95868,14,56.0,14
95994,96008,14,56.0,14
96132,96147,15,60.0,15
96272,96287,15,60.0,15
96412,96427,15,60.0,15
96554,96568,14,56.0,14
96696,96710,14,56.0,14
96838,96853,15,60.0,15
96980,96996,16,64.0,16
97124,97139,15,60.0,15
97268,97282,14,56.0,14
97410,97425,15,60.0,15
97554,97568,14,56.0,14
97696,97710,14,56.0,14
97838,97853,15,60.0,15
97980,97995,15,60.0,15
98122,98137,15,60.0,15
98264,98279,15,60.0,15
98406,98421,15,60.0,15
98548,98563,15,60.0,15
98690,98706,16,64.0,16
98834,98848,14,56.0,14
98976,98991,15,60.0,15
99118,99133,15,60.0,15
99262,99276,14,56.0,14
99404,99419,15,60.0,15
99548,99563,15,60.0,15
99690,99706,16,64.0,16
99834,99849,15,60.0,15
99976,99991,15,60.0,15
100120,100135,15,60.0,15
100264,100278,14,56.0,14
100406,100422,16,64.0,16
100550,100565,15,60.0,15
100694,100708,14,56.0,14
100836,100851,15,60.0,15
100978,100993,15,60.0,15
101122,101136,14,56.0,14
101264,101279,15,60.0,15
101406,101421,15,60.0,15
101548,101564,16,64.0,16
101692,101707,15,60.0,15
101836,101850,14,56.0,14
101978,101993,15,60.0,15
102122,102137,15,60.0,15
102266,102281,15,60.0,15
102410,102424,14,56.0,14
102544,102567,23,92.0,23
102696,102711,15,60.0,15
102982,102996,14,56.0,14
103124,103139,15,60.0,15
103268,103282,14,56.0,14
103410,103425,15,60.0,15
103552,103568,16,64.0,16
103696,103711,15,60.0,15
103838,103854,16,64.0,16
103982,103997,15,60.0,15
104126,104140,14,56.0,14
104268,104284,16,64.0,16
104412,104427,15,60.0,15
104554,104569,15,60.0,15
104698,104712,14,56.0,14
104840,104856,16,64.0,16
104982,104998,16,64.0,16
105124,105140,16,64.0,16
105266,105282,16,64.0,16
105408,105424,16,64.0,16
105692,105707,15,60.0,15
105834,105850,16,64.0,16
105976,105991,15,60.0,15
106118,106134,16,64.0,16
106262,106276,14,56.0,14
106404,106419,15,60.0,15
106546,106561,15,60.0,15
106688,106703,15,60.0,15
106830,106845,15,60.0,15
106972,106987,15,60.0,15
107112,107127,15,60.0,15
107254,107269,15,60.0,15
107394,107410,16,64.0,16
107538,107553,15,60.0,15
107678,107694,16,64.0,16
107820,107834,14,56.0,14
107960,107976,16,64.0,16
108102,108117,15,60.0,15
108242,108258,16,64.0,16
108384,108398,14,56.0,14
108524,108538,14,56.0,14
108662,108676,14,56.0,14
108800,108816,16,64.0,16
108940,108955,15,60.0,15
109082,109096,14,56.0,14
109222,109238,16,64.0,16
109364,109380,16,64.0,16
109508,109523,15,60.0,15
109650,109666,16,64.0,16
109792,109808,16,64.0,16
109936,109950,14,56.0,14
110078,110094,16,64.0,16
110222,110236,14,56.0,14
110364,110378,14,56.0,14
110506,110522,16,64.0,16
110650,110665,15,60.0,15
110794,110809,15,60.0,15
110936,110950,14,56.0,14
111080,111095,15,60.0,15
111224,111239,15,60.0,15
111366,111382,16,64.0,16
111508,111524,16,64.0,16
111652,111667,15,60.0,15
111794,111810,16,64.0,16
111936,111952,16,64.0,16
112080,112094,14,56.0,14
112222,112237,15,60.0,15
112364,112379,15,60.0,15
112506,112521,15,60.0,15
112648,112663,15,60.0,15
112790,112806,16,64.0,16
112934,112949,15,60.0,15
113076,113091,15,60.0,15
113218,113233,15,60.0,15
113362,113377,15,60.0,15
113504,113519,15,60.0,15
113646,113661,15,60.0,15
113788,113804,16,64.0,16
113932,113947,15,60.0,15
114074,114088,14,56.0,14
114216,114231,15,60.0,15
114358,114374,16,64.0,16
114502,114517,15,60.0,15
114644,114659,15,60.0,15
114788,114802,14,56.0,14
114930,114946,16,64.0,16
115074,115088,14,56.0,14
115216,115230,14,56.0,14
115358,115373,15,60.0,15
115500,115515,15,60.0,15
115642,115657,15,60.0,15
115784,115799,15,60.0,15
115926,115942,16,64.0,16
116068,116084,16,64.0,16
116212,116226,14,56.0,14
116354,116369,15,60.0,15
116496,116511,15,60.0,15
116640,116654,14,56.0,14
116782,116797,15,60.0,15
116926,116941,15,60.0,15
117070,117084,14,56.0,14
117212,117227,15,60.0,15
117356,117371,15,60.0,15
117498,117513,15,60.0,15
117640,117655,15,60.0,15
117782,117797,15,60.0,15
117924,117940,16,64.0,16
118066,118082,16,64.0,16
118210,118225,15,60.0,15
118352,118367,15,60.0,15
118496,118510,14,56.0,14
118638,118654,16,64.0,16
118782,118797,15,60.0,15
118926,118941,15,60.0,15
119068,119084,16,64.0,16
119212,119227,15,60.0,15
119354,119369,15,60.0,15
119498,119513,15,60.0,15
119642,119656,14,56.0,14
119784,119799,15,60.0,15
119928,119943,15,60.0,15
120070,120086,16,64.0,16
120214,120229,15,60.0,15
120358,120372,14,56.0,14
120500,120515,15,60.0,15
120644,120659,15,60.0,15
120788,120802,14,56.0,14
120930,120945,15,60.0,15
121074,121089,15,60.0,15
121218,121232,14,56.0,14
121360,121376,16,64.0,16
121504,121518,14,56.0,14
121646,121661,15,60.0,15
121790,121805,15,60.0,15
121932,121948,16,64.0,16
122076,122090,14,56.0,14
122218,122234,16,64.0,16
122362,122376,14,56.0,14
122504,122519,15,60.0,15
122646,122661,15,60.0,15
122788,122804,16,64.0,16
122932,122947,15,60.0,15
123074,123090,16,64.0,16
123218,123233,15,60.0,15
123360,123376,16,64.0,16
123504,123518,14,56.0,14
123646,123661,15,60.0,15
123788,123803,15,60.0,15
123930,123946,16,64.0,16
124072,124088,16,64.0,16
124216,124230,14,56.0,14
124358,124373,15,60.0,15
124500,124515,15,60.0,15
124642,124658,16,64.0,16
124786,124800,14,56.0,14
124928,124943,15,60.0,15
125070,125085,15,60.0,15
125212,125228,16,64.0,16
125354,125370,16,64.0,16
125498,125512,14,56.0,14
125640,125656,16,64.0,16
125784,125798,14,56.0,14
125926,125941,15,60.0,15
126068,126084,16,64.0,16
126212,126228,16,64.0,16
126356,126371,15,60.0,15
126498,126513,15,60.0,15
126642,126656,14,56.0,14
126784,126799,15,60.0,15
126926,126941,15,60.0,15
127068,127083,15,60.0,15
127210,127226,16,64.0,16
127352,127368,16,64.0,16
127496,127510,14,56.0,14
127638,127652,14,56.0,14
127780,127795,15,60.0,15
127922,127937,15,60.0,15
128064,128079,15,60.0,15
128206,128221,15,60.0,15
128348,128364,16,64.0,16
128492,128507,15,60.0,15
128634,128649,15,60.0,15
128776,128792,16,64.0,16
128920,128935,15,60.0,15
129062,129078,16,64.0,16
129206,129221,15,60.0,15
129350,129365,15,60.0,15
129494,129509,15,60.0,15
129638,129653,15,60.0,15
129782,129796,14,56.0,14
129926,129941,15,60.0,15
130070,130085,15,60.0,15
130214,130229,15,60.0,15
130358,130374,16,64.0,16
130504,130519,15,60.0,15
130650,130664,14,56.0,14
130796,130810,14,56.0,14
130940,130955,15,60.0,15
131084,131100,16,64.0,16
131230,131245,15,60.0,15
131376,131390,14,56.0,14
131522,131537,15,60.0,15
131668,131683,15,60.0,15
131814,131830,16,64.0,16
131962,131977,15,60.0,15
132108,132124,16,64.0,16
132254,132268,14,56.0,14
132400,132415,15,60.0,15
132544,132560,16,64.0,16
132690,132705,15,60.0,15
132834,132849,15,60.0,15
132978,132993,15,60.0,15
133120,133136,16,64.0,16
133264,133280,16,64.0,16
133410,133424,14,56.0,14
133554,133569,15,60.0,15
133698,133714,16,64.0,16
133842,133858,16,64.0,16
133988,134003,15,60.0,15
134132,134146,14,56.0,14
134276,134290,14,56.0,14
134420,134435,15,60.0,15
134564,134578,14,56.0,14
134706,134722,16,64.0,16
134850,134866,16,64.0,16
134994,135008,14,56.0,14
135138,135153,15,60.0,15
135282,135297,15,60.0,15
135426,135441,15,60.0,15
135570,135584,14,56.0,14
135712,135727,15,60.0,15
135856,135871,15,60.0,15
136000,136015,15,60.0,15
136144,136158,14,56.0,14
136288,136302,14,56.0,14
136432,136446,14,56.0,14
136576,136591,15,60.0,15
136720,136735,15,60.0,15
136864,136880,16,64.0,16
137010,137025,15,60.0,15
137154,137169,15,60.0,15
137300,137315,15,60.0,15
137444,137460,16,64.0,16
137590,137605,15,60.0,15
137734,137749,15,60.0,15
137880,137894,14,56.0,14
138024,138038,14,56.0,14
138168,138182,14,56.0,14
138312,138327,15,60.0,15
138456,138471,15,60.0,15
138602,138616,14,56.0,14
138746,138760,14,56.0,14
138890,138905,15,60.0,15
139034,139049,15,60.0,15
139178,139194,16,64.0,16
139324,139339,15,60.0,15
139470,139485,15,60.0,15
139616,139631,15,60.0,15
139760,139776,16,64.0,16
139906,139921,15,60.0,15
140050,140066,16,64.0,16
140196,140212,16,64.0,16
140342,140357,15,60.0,15
140488,140502,14,56.0,14
140632,140648,16,64.0,16
140778,140793,15,60.0,15
140922,140938,16,64.0,16
141068,141083,15,60.0,15
141214,141228,14,56.0,14
141358,141373,15,60.0,15
141504,141518,14,56.0,14
141648,141663,15,60.0,15
141792,141807,15,60.0,15
141936,141951,15,60.0,15
142080,142096,16,64.0,16
142226,142240,14,56.0,14
142370,142385,15,60.0,15
142514,142529,15,60.0,15
